"","YEAR","WEEK","subtype","inci"
"149",2004,50,"inci.A.H3",260638.832347648
"150",2004,50,"inci.B",49093.9054159961
"151",2004,51,"inci.A.H1",3644.45355044793
"152",2004,51,"inci.A.H3",677868.360383314
"153",2004,51,"inci.B",77152.3940302372
"154",2004,52,"inci.A.H1",0
"155",2004,52,"inci.A.H3",1104527.25374517
"156",2004,52,"inci.B",159831.590836066
"157",2005,1,"inci.A.H1",5087.83767755669
"158",2005,1,"inci.A.H3",1030287.12970523
"159",2005,1,"inci.B",153594.49918279
"160",2005,2,"inci.A.H1",5936.47154308811
"161",2005,2,"inci.A.H3",914216.617635569
"162",2005,2,"inci.B",177402.396430631
"163",2005,3,"inci.A.H1",7186.30674113147
"164",2005,3,"inci.A.H3",1354618.82070328
"165",2005,3,"inci.B",227146.095214961
"166",2005,4,"inci.A.H1",3410.64861126727
"167",2005,4,"inci.A.H3",1753073.38619138
"168",2005,4,"inci.B",344541.099134365
"169",2005,5,"inci.A.H1",0
"170",2005,5,"inci.A.H3",2572779.57993217
"171",2005,5,"inci.B",573834.056754992
"172",2005,6,"inci.A.H1",9108.94409981597
"173",2005,6,"inci.A.H3",2914862.11194111
"174",2005,6,"inci.B",667777.431814412
"175",2005,7,"inci.A.H1",7966.78087402986
"176",2005,7,"inci.A.H3",2756506.18241433
"177",2005,7,"inci.B",810048.722034305
"178",2005,8,"inci.A.H1",4006.59307413232
"179",2005,8,"inci.A.H3",2099454.77084534
"180",2005,8,"inci.B",783095.85717002
"181",2005,9,"inci.A.H1",0
"182",2005,9,"inci.A.H3",1407160.64054813
"183",2005,9,"inci.B",621157.498374385
"184",2005,10,"inci.A.H1",0
"185",2005,10,"inci.A.H3",979466.266444438
"186",2005,10,"inci.B",513053.758613753
"187",2005,11,"inci.A.H1",0
"188",2005,11,"inci.A.H3",766946.630937393
"189",2005,11,"inci.B",567082.98771038
"190",2005,12,"inci.A.H1",0
"191",2005,12,"inci.A.H3",474411.329268481
"192",2005,12,"inci.B",541015.875495829
"193",2005,13,"inci.A.H1",12800.5865625954
"194",2005,13,"inci.A.H3",230410.558126717
"195",2005,13,"inci.B",372417.065305509
"196",2005,14,"inci.A.H1",0
"197",2005,14,"inci.A.H3",165077.25616231
"198",2005,14,"inci.B",244729.918226641
"199",2005,15,"inci.A.H1",0
"200",2005,15,"inci.A.H3",66038.4374404664
"201",2005,15,"inci.B",153259.015192026
"202",2005,16,"inci.A.H1",2742.57186148468
"203",2005,16,"inci.A.H3",57594.0090911782
"204",2005,16,"inci.B",94275.9077385357
"205",2005,17,"inci.A.H1",0
"206",2005,17,"inci.A.H3",37381.035349384
"207",2005,17,"inci.B",58148.2772101529
"208",2005,18,"inci.A.H1",0
"209",2005,18,"inci.A.H3",25444.7233103349
"210",2005,18,"inci.B",46648.6594022806
"211",2005,19,"inci.A.H1",0
"212",2005,19,"inci.A.H3",28472.3467505982
"213",2005,19,"inci.B",30054.1437922981
"214",2005,20,"inci.A.H1",0
"215",2005,20,"inci.A.H3",38122.2228260946
"216",2005,20,"inci.B",26519.8071833702
"217",2005,21,"inci.A.H1",0
"218",2005,21,"inci.A.H3",20682.460530177
"219",2005,21,"inci.B",32747.2291727803
"220",2005,22,"inci.A.H1",0
"221",2005,22,"inci.A.H3",17567.5837166215
"222",2005,22,"inci.B",32939.2194686654
"223",2005,23,"inci.A.H1",0
"224",2005,23,"inci.A.H3",7600.31241263757
"225",2005,23,"inci.B",15200.6248252751
"226",2005,24,"inci.A.H1",0
"227",2005,24,"inci.A.H3",10160.3265814074
"228",2005,24,"inci.B",20320.6531628148
"229",2005,25,"inci.A.H1",0
"230",2005,25,"inci.A.H3",13752.09368977
"231",2005,25,"inci.B",11460.0780748084
"232",2005,26,"inci.A.H1",NA
"233",2005,26,"inci.A.H3",NA
"234",2005,26,"inci.B",2061.32236869116
"235",2005,27,"inci.A.H1",0
"236",2005,27,"inci.A.H3",2318.61142802983
"237",2005,27,"inci.B",9274.44571211931
"238",2005,28,"inci.A.H1",NA
"239",2005,28,"inci.A.H3",NA
"240",2005,28,"inci.B",4359.05546912047
"241",2005,29,"inci.A.H1",NA
"242",2005,29,"inci.A.H3",NA
"243",2005,29,"inci.B",4289.53989417775
"244",2005,30,"inci.A.H1",0
"245",2005,30,"inci.A.H3",1763.3117390783
"246",2005,30,"inci.B",1763.3117390783
"247",2005,31,"inci.A.H1",NA
"248",2005,31,"inci.A.H3",NA
"249",2005,31,"inci.B",NA
"250",2005,32,"inci.A.H1",0
"251",2005,32,"inci.A.H3",8651.37271758999
"252",2005,32,"inci.B",0
"253",2005,33,"inci.A.H1",11051.5754611646
"254",2005,33,"inci.A.H3",0
"255",2005,33,"inci.B",0
"256",2005,34,"inci.A.H1",0
"257",2005,34,"inci.A.H3",7096.49131235157
"258",2005,34,"inci.B",0
"259",2005,35,"inci.A.H1",0
"260",2005,35,"inci.A.H3",9544.65362877641
"261",2005,35,"inci.B",1908.93072575528
"262",2005,36,"inci.A.H1",0
"263",2005,36,"inci.A.H3",2226.72880934565
"264",2005,36,"inci.B",0
"265",2005,37,"inci.A.H1",0
"266",2005,37,"inci.A.H3",7363.79222980352
"267",2005,37,"inci.B",1840.94805745088
"268",2005,38,"inci.A.H1",0
"269",2005,38,"inci.A.H3",3612.96140430672
"270",2005,38,"inci.B",0
"271",2005,39,"inci.A.H1",0
"272",2005,39,"inci.A.H3",10086.7429906584
"273",2005,39,"inci.B",1681.1238317764
"274",2005,40,"inci.A.H1",0
"275",2005,40,"inci.A.H3",16838.9095948915
"276",2005,40,"inci.B",1683.89095948915
"277",2005,41,"inci.A.H1",0
"278",2005,41,"inci.A.H3",14317.5177615993
"279",2005,41,"inci.B",2863.50355231985
"280",2005,42,"inci.A.H1",0
"281",2005,42,"inci.A.H3",28135.4684793806
"282",2005,42,"inci.B",7033.86711984516
"283",2005,43,"inci.A.H1",0
"284",2005,43,"inci.A.H3",14373.8142964673
"285",2005,43,"inci.B",2395.63571607789
"286",2005,44,"inci.A.H1",0
"287",2005,44,"inci.A.H3",25732.3381292773
"288",2005,44,"inci.B",3859.8507193916
"289",2005,45,"inci.A.H1",1953.40417385602
"290",2005,45,"inci.A.H3",41021.4876509764
"291",2005,45,"inci.B",8356.22896593964
"292",2005,46,"inci.A.H1",4552.65128457742
"293",2005,46,"inci.A.H3",40973.8615611968
"294",2005,46,"inci.B",4235.02445076969
"295",2005,47,"inci.A.H1",0
"296",2005,47,"inci.A.H3",71503.020240776
"297",2005,47,"inci.B",4377.73593310874
"298",2005,48,"inci.A.H1",2131.06646969385
"299",2005,48,"inci.A.H3",121470.788772549
"300",2005,48,"inci.B",2168.45360074111
"301",2005,49,"inci.A.H1",2060.69976548582
"302",2005,49,"inci.A.H3",259648.170451214
"303",2005,49,"inci.B",10163.4512705514
"304",2005,50,"inci.A.H1",0
"305",2005,50,"inci.A.H3",508104.18901951
"306",2005,50,"inci.B",6448.02270329327
"307",2005,51,"inci.A.H1",3221.17157881408
"308",2005,51,"inci.A.H3",953466.787328967
"309",2005,51,"inci.B",15475.8346293906
"310",2005,52,"inci.A.H1",7016.9352132696
"311",2005,52,"inci.A.H3",1178845.11582929
"312",2005,52,"inci.B",35746.824605477
"313",2006,1,"inci.A.H1",3142.5535520096
"314",2006,1,"inci.A.H3",813921.369970485
"315",2006,1,"inci.B",26936.1733029394
"316",2006,2,"inci.A.H1",10170.5344965418
"317",2006,2,"inci.A.H3",755162.186368226
"318",2006,2,"inci.B",20508.3067710413
"319",2006,3,"inci.A.H1",11553.723779977
"320",2006,3,"inci.A.H3",823202.819323363
"321",2006,3,"inci.B",28346.5336651017
"322",2006,4,"inci.A.H1",12840.5354752133
"323",2006,4,"inci.A.H3",988721.231591425
"324",2006,4,"inci.B",32213.9749641316
"325",2006,5,"inci.A.H1",20218.2393194767
"326",2006,5,"inci.A.H3",1058087.85771928
"327",2006,5,"inci.B",72606.5979807716
"328",2006,6,"inci.A.H1",32297.9847042929
"329",2006,6,"inci.A.H3",1151961.45445311
"330",2006,6,"inci.B",145597.264381257
"331",2006,7,"inci.A.H1",62796.6492079709
"332",2006,7,"inci.A.H3",1374138.44149207
"333",2006,7,"inci.B",188584.919178893
"334",2006,8,"inci.A.H1",64655.2772137011
"335",2006,8,"inci.A.H3",1470907.5566117
"336",2006,8,"inci.B",268695.738095262
"337",2006,9,"inci.A.H1",92961.6473461967
"338",2006,9,"inci.A.H3",1394424.71019295
"339",2006,9,"inci.B",418922.473389404
"340",2006,10,"inci.A.H1",165173.345394969
"341",2006,10,"inci.A.H3",1257152.68439504
"342",2006,10,"inci.B",431135.973368741
"343",2006,11,"inci.A.H1",125109.071626654
"344",2006,11,"inci.A.H3",863252.594223916
"345",2006,11,"inci.B",463688.824085214
"346",2006,12,"inci.A.H1",231804.003749895
"347",2006,12,"inci.A.H3",531095.249097861
"348",2006,12,"inci.B",434792.186319566
"349",2006,13,"inci.A.H1",189917.644068366
"350",2006,13,"inci.A.H3",403951.814367636
"351",2006,13,"inci.B",484385.144869588
"352",2006,14,"inci.A.H1",134026.24620081
"353",2006,14,"inci.A.H3",186931.343385341
"354",2006,14,"inci.B",341770.539081498
"355",2006,15,"inci.A.H1",69628.3299934464
"356",2006,15,"inci.A.H3",147960.201236074
"357",2006,15,"inci.B",241653.62224108
"358",2006,16,"inci.A.H1",55304.2467658887
"359",2006,16,"inci.A.H3",69130.3084573609
"360",2006,16,"inci.B",211927.601864597
"361",2006,17,"inci.A.H1",62701.4442484005
"362",2006,17,"inci.A.H3",12540.2888496801
"363",2006,17,"inci.B",156271.29181909
"364",2006,18,"inci.A.H1",38218.4316342358
"365",2006,18,"inci.A.H3",38218.4316342358
"366",2006,18,"inci.B",146028.634303946
"367",2006,19,"inci.A.H1",69478.842294
"368",2006,19,"inci.A.H3",0
"369",2006,19,"inci.B",132123.700100066
"370",2006,20,"inci.A.H1",48400.0819187781
"371",2006,20,"inci.A.H3",8066.68031979634
"372",2006,20,"inci.B",102346.006557416
